chart_version,output
10.4.4,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r18
- docker.io/bitnami/postgresql:14.13.0
- docker.io/bitnami/postgresql:15.8.0
- docker.io/camunda/connectors-bundle:8.5.10
- docker.io/camunda/identity:8.5.8
- docker.io/camunda/operate:8.5.8
- docker.io/camunda/optimize:8.5.8
- docker.io/camunda/tasklist:8.5.9
- docker.io/camunda/zeebe:8.5.9
- registry.camunda.cloud/console/console-sm:8.5.113
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.11
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.11
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.11"
10.4.3,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r18
- docker.io/bitnami/postgresql:14.13.0
- docker.io/bitnami/postgresql:15.8.0
- docker.io/camunda/connectors-bundle:8.5.10
- docker.io/camunda/identity:8.5.6
- docker.io/camunda/operate:8.5.7
- docker.io/camunda/optimize:8.5.7
- docker.io/camunda/tasklist:8.5.8
- docker.io/camunda/zeebe:8.5.8
- registry.camunda.cloud/console/console-sm:8.5.113
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.10
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.10
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.10"
10.4.2,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r18
- docker.io/bitnami/postgresql:14.13.0
- docker.io/bitnami/postgresql:15.8.0
- docker.io/camunda/connectors-bundle:8.5.9
- docker.io/camunda/identity:8.5.6
- docker.io/camunda/operate:8.5.7
- docker.io/camunda/optimize:8.5.6
- docker.io/camunda/tasklist:8.5.8
- docker.io/camunda/zeebe:8.5.8
- registry.camunda.cloud/console/console-sm:8.5.112
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.10
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.10
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.10"
10.4.1,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r18
- docker.io/bitnami/postgresql:14.13.0
- docker.io/bitnami/postgresql:15.8.0
- docker.io/camunda/connectors-bundle:8.5.9
- docker.io/camunda/identity:8.5.6
- docker.io/camunda/operate:8.5.7
- docker.io/camunda/optimize:8.5.6
- docker.io/camunda/tasklist:8.5.8
- docker.io/camunda/zeebe:8.5.8
- registry.camunda.cloud/console/console-sm:8.5.112
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.9
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.9
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.9"
10.4.0,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r18
- docker.io/bitnami/postgresql:14.13.0
- docker.io/bitnami/postgresql:15.8.0
- docker.io/camunda/connectors-bundle:8.5.7
- docker.io/camunda/identity:8.5.5
- docker.io/camunda/identity:latest
- docker.io/camunda/operate:8.5.6
- docker.io/camunda/optimize:8.5.5
- docker.io/camunda/tasklist:8.5.7
- docker.io/camunda/zeebe:8.5.7
- registry.camunda.cloud/console/console-sm:8.5.97
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.7
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.7
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.7"
10.3.2,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r18
- docker.io/bitnami/postgresql:14.12.0
- docker.io/bitnami/postgresql:15.7.0
- docker.io/camunda/connectors-bundle:8.5.5
- docker.io/camunda/identity:8.5.4
- docker.io/camunda/identity:latest
- docker.io/camunda/operate:8.5.5
- docker.io/camunda/optimize:8.5.4
- docker.io/camunda/tasklist:8.5.4
- docker.io/camunda/zeebe:8.5.6
- registry.camunda.cloud/console/console-sm:8.5.88
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.6
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.6
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.6"
10.3.1,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r18
- docker.io/bitnami/postgresql:14.12.0
- docker.io/bitnami/postgresql:15.7.0
- docker.io/camunda/connectors-bundle:8.5.5
- docker.io/camunda/identity:8.5.4
- docker.io/camunda/identity:latest
- docker.io/camunda/operate:8.5.5
- docker.io/camunda/optimize:8.5.4
- docker.io/camunda/tasklist:8.5.4
- docker.io/camunda/zeebe:8.5.6
- registry.camunda.cloud/console/console-sm:8.5.88
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.6
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.6
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.6"
10.3.0,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r18
- docker.io/bitnami/postgresql:14.12.0
- docker.io/bitnami/postgresql:15.7.0
- docker.io/camunda/connectors-bundle:8.5.5
- docker.io/camunda/identity:8.5.4
- docker.io/camunda/identity:latest
- docker.io/camunda/operate:8.5.5
- docker.io/camunda/optimize:8.5.4
- docker.io/camunda/tasklist:8.5.4
- docker.io/camunda/zeebe:8.5.6
- registry.camunda.cloud/console/console-sm:8.5.88
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.6
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.6
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.6"
10.2.1,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r18
- docker.io/bitnami/postgresql:14.12.0
- docker.io/bitnami/postgresql:15.7.0
- docker.io/camunda/connectors-bundle:8.5.4
- docker.io/camunda/identity:8.5.4
- docker.io/camunda/identity:latest
- docker.io/camunda/operate:8.5.4
- docker.io/camunda/optimize:8.5.3
- docker.io/camunda/tasklist:8.5.3
- docker.io/camunda/zeebe:8.5.5
- registry.camunda.cloud/console/console-sm:8.5.83
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.5
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.5
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.5"
10.2.0,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r18
- docker.io/bitnami/postgresql:14.12.0
- docker.io/bitnami/postgresql:15.7.0
- docker.io/camunda/connectors-bundle:8.5.4
- docker.io/camunda/identity:8.5.3
- docker.io/camunda/identity:latest
- docker.io/camunda/operate:8.5.4
- docker.io/camunda/optimize:8.5.3
- docker.io/camunda/tasklist:8.5.3
- docker.io/camunda/zeebe:8.5.4
- registry.camunda.cloud/console/console-sm:8.5.68
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.5
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.5
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.5"
